מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,3,****** קיאקים ********,,,
,0,0301S,** קיאקים S.O.T **,,,
,0,0301S01001,קיאק יחיד  SOT VELOCITY,,,3.00
,0,0301S01002,קיאק זוגי  SOT NEREUS 1,,,
,0,0301S01003,קיאק לשלישיה NEREUS 3,,,
,0,0301S01010,טורינג קיאק CL370 V1,112040G,,
,0,0301S01011,טורינג קיאק זוגי CL470 V1,112240G,,
,0,0301T,** קיאקים TOURING **,,,
,0,0301TP001,טורינג קיאק SCORPIO MKII  MV,PH040350228,,
,0,0301TP002,טורינג קיאק SCORPIO LV509,PH040330206,,
,0,0301TP003,טורינג קיאק SCORPIO HV,,,
,0,0301TPC0002,טורינג קיאק CETUS MV,PH0805502C,,
,0,0301TPD0001,טורינג קיאק DELPHIN 150,2DEL150SC,,
,0,0301TPD0005,טורינג קיאק VIRGOLV MZ3,PH060130227,,
,0,0301TPD0008,טורינג קיאק LEO HV MZ3,,,
,0,0301TPR001,טורינג קיאק יחיד S60,458993,,
,0,0301TPR002,טורינג קיאק זוגי B66,458994,,
,0,0301TPR002A,טורינג קיאק BIW 66,459784,,
,0,0301W,** קיאקים למים סוערים **,,,
,0,0301WB3L01,קיאק BURN III,PK240170127,,
,0,0301WB3L02,קיאק MACHNO M,1MACMS,,
,0,0301WB3L02L,קיאק MACHNO L,1MACLS,,
,0,0301WB3L03,קיאק REACTR M  למים סוערים,PK270153433,,
,0,0301WB3M01,קיאק LOKI  MEDIUM,1LOKMS,,
,0,0301WB3M011,קיאק JED M/L  STOUT,PK080170825,,
,0,0301WB3M0111,קיאק STOUT 2 9 R M,19R2MS,,
,0,0301WB3M0112,קיאק מים סוערים R12,PK010150834,,
,0,0301WB3R01,קיאק RIPPER S,PK1501308C,,
,0,302,** משוטים לקיאקים **,,,
,0,03021A210,"משוט קיאק 210 ס""מ ROTOMOD",458997,,
,0,03021A215,"משוט לקיאק 215 ס""מ ROTOMOD",458996,,
,0,03021A220,"משוט קיאק 220 ס""מ ROTOMOD",458995,,
9851000.00,0,03021TREM,משוט TREM לקיאק,R2777210,,6.00
,0,03021TREM1,משוט  WINNER לקיאק,,,59.00
,0,302311215,"משוט סימטרי 215 ס""מ  RIM",311150R,,
,0,0302314P210,"משוט 210 ס""מ RIM PACIFIC",315100GR,,1.00
,0,0302314P215,"משוט 215 ס""מ RIM PACIFIC",315150GR,,7.00
,0,0302314P225R,"משוט 225 ס""מ RIM PACIFIC",315250GR,,
,0,0302314PRA215,"משוט 215 ס""מ RIM ARDECH",314150R,,4.00
,0,0302316T220R,"טורינג משוט 220 ס""מ BORA",355200MR,,
,0,0302MB0006,משוט קרבון GENESIS  ישר 192,GENCMS192,,3.00
,0,0302MB0007,משוט 192  ALUTEX  C/F,ALUTEX,,2.00
,0,0302POD,***PADDLEMATE***,,,
,0,0302POD1000,אולימפי חיישן מדידה למשוט PM ס,PADDLEMATE POD SET,,2.00
,0,0302WEC,***BRACA OUTRIGGER***,,,
,0,0302WEC23CRB,אולימפי משוט קאנו UNI W23,B16000,,
,0,0302WEC730CRB,משוט אאוטריגר 730 ידית קרבון,B20000C08003.05,,1.00
,0,0302WED,***BRACA SUP***,,,
,0,0302WED510MFX,משוט סאפ 510 MEDIUM FIXED,,,1.00
,0,0302WED510SFX,משוט סאפ 510 SOFT FIXED,,,1.00
,0,0302WED542SFX,משוט סאפ 542 SOFT FIXED,,,1.00
,0,0302WEE,***BRACA TOURING***,,,
,0,0302WEEALP730,מים סוערים משוט ALPINA 730,B33000K12060.00,,
,0,0302WEEHUR020,טורינג משוט 20% HURRICANE,B52008K05003,,6.00
,0,0302WEEHUR060,טורינג משוט 60% HURRICANE,B52007K09003.00,,2.00
,0,0302WEEHUR100,טורינג משוט 100% HURRICANE,B5200K08003,,4.00
,0,0302WEEPK735,פולו קיאק משוט KINETIC 735,B31000K12060.00,,
,0,0302WEF,***BRACA OLYMPIC***,,,
,0,0302WEF11100735,אולימפי משוט 11 735,B00110K06001.00,,1.00
,0,0302WEF11100735L,אולימפי משוט 1 775 Ex.Li,B07012K03001,,
,0,0302WEF11100760,אולימפי משוט 11 760,B00110K04001.00,,1.00
,0,0302WEF11100760L,אולימפי משוט 11 760 Ex.Li.M.L,,,
,0,0302WEF11100765,*משוט אולימפי 11 100% 765,B08040K03001.00,,
,0,0302WEF11100775,אולימפי משוט 1 775,,,
,0,0302WEF11100775L,אולימפי משוט 1 775 Ex.Li,B07012K03001,,
,0,0302WEF11100790,אולימפי משוט 1 790,B07010K03001,,
,0,0302WEF11100795,אולימפי משוט 11 795 Ex.Li,B00112K03001,,
,0,0302WEF11100820,אולימפי משוט 1 820,,,
,0,0302WEF200790,אולימפי משוט 2 790,B07020K02001,,
,0,0302WEF4060705,משוט 4 705 60%,B08047K10001.00,,4.00
,0,0302WEF4060735,משוט 4 735 60%,B08047K10003.00,,14.00
,0,0302WEF4100705,אולימפי משוט 4 705,B08040K06001.00,,2.00
,0,0302WEF4100735,אולימפי משוט 4 735,B08040K04001.00,,8.00
,0,0302WEF4100750,אולימפי משוט 4 100% 750,B08040K03001.00,,1.00
,0,0302WEF4100765,אולימפי משוט 4 765,B08040K03001.00,,1.00
,0,0302WEF410735L,אולימפי משוט 4 Ex.Li,B08042K04001,,
,0,0302WEF580,אולימפי משוט 580 נערים,B09047K05003.00,,1.00
,0,0302WEF6001,אולימפי משוט 7 745,B08070K6001,,
,0,0302WEF610,אולימפי משוט 610 ילדים,B09037K05003.00,,1.00
,0,0302WEF9100740,אולימפי משוט 9 100% 740,B07090K04001.00,,1.00
,0,0302WEF9100765,אולימפי משוט 9 100% 765,B07090K03001.00,,1.00
,0,0302WES,***BRACA SURFSKI***,,,
,0,0302WES1004,ווסט אטום לרוח ונתזים XL,PS.LIEMWSTOP.00,,2.00
,0,0302WES11670,סרפסקי משוט 11 670,M08045K19073.00,,
,0,0302WES11705,סרפסקי משוט 11 705,B00115K19073.00,,
,0,0302WES11720,סרפסקי משוט 11 720,B00115K19073.00,,1.00
,0,0302WES11735,סרפסקי משוט 11 735,B00115K19073.00,,4.00
,0,0302WES11760,סרפסקי משוט 11 760,M00115K19071.00,,
,0,0302WES4705,סרפסקי משוט 4 705,B08045K19073.00,,2.00
,0,0302WES4720,סרפסקי משוט 4 720,B08045K19073.00,,2.00
,0,0302WES4735,סרפסקי משוט 4 735,B08045K19063.00,,3.00
,0,0302WES4765,סרפסקי משוט 4 765,B08045K19073.00,,1.00
,0,0302WES900,"מוט קרבון ADJ למשוט, נעילת AL",B00000K06001.00,,3.00
,0,0302WES901,מוט קרבון למשוט פולו/מים סוערי,B00000K12060.00,,
,0,0302WES910,סוגר אלומניום למוט קרבון למשוט,PK.MOVAALIUM,,5.00
,0,0302WES920,דבק חם שחור למשוט,PP.KLIJTECHN.00,,70.00
,0,0302WES930,סוגר פלסטיק למוט קרבון למשוט,PK.MOVAPLAST,,8.00
,0,0302WES938,גריפ אחיזה למשוט - שחור חלק,PK.TERMOVAMZ.00,,16.00
,0,0302WES940,גריפ אחיזה למשוט - צהוב מחוספס,PK.TERMOVAMZ.01,,17.00
,0,0302WES989,תיק למשוט קאנו Braca,PS.DKLKANOJI.00,,1.00
,0,0302WES990,תיק למשוט אולימפי/סרף Braca,PS.DKLBAIDAR.00,,16.00
,0,0302WES991,תיק משולב למשוט Braca Combo,PS.KREPSPORT.00,,1.00
,0,0302WES992,כפפות פוגיז,PS.PIRSTINSP.00,,6.00
,0,0302WES993,תיק גב BRACA 25L,PR.KUPRINE00.0,,1.00
,0,0302WES994,כובע ברצ'ה שחור,PR.KEPURELE0.00,,9.00
,0,303,** חצאיות לקיאקים **,,,
,0,03031001LXL,אולימפי חצאית Braca L/XL,PS.PRIJUOSTE.00,,1.00
,0,03031001SM,אולימפי חצאית Braca S/ML,PS.PRIJUOSTE.00,,2.00
,0,0303115EBML,טורינג חצאית EXPLORER BIG ML,24ED-BIG-ML,,
,0,0303115EBS,טורינג חצאית EXPLORER BIG S,24ED-BIG-S,,
,0,0303115EBXL,טורינג חצאית EXPLORER BIG XL,24ED-BIG-XL,,
,0,0303115EKML,טורינג חצאית EXPLORER KEY ML,24ED-KEY-ML,,
,0,0303115EKS,טורינג חצאית EXPLORER KEY S,24ED-KEY-S,,
,0,0303115EKXL,טורינג חצאית EXPLORER KEY XL,24ED-KEY-XL,,4.00
,0,0303115SDBML,טורינג חצאית STANDARD BIG M/L,22SD-BIG-ML,,
,0,0303115SDBS,טורינג חצאית STANDARD BIG S,26SD-BIG-S,,
,0,0303115SDBXL,טורינג חצאית STADARD BIG XL,22SD-BIG-XL,,3.00
,0,0303116KEYML,טורינג חצאית STADARD KEY ML,22SD-KEY-ML,,
,0,0303116KEYS,טורינג חצאית STADARD KEY S,22SD-KEY-S,,
,0,0303116KEYXL,טורינג חצאית STADARD KEY XL,22SD-KEY-XL,,1.00
,0,03035202LXL,טורינג חצאית KH ZINC LXL,5202-L/XL,,
,0,03035202SM,טורינג חצאית KH ZINC SM,5202-S/M,,2.00
,0,03035204LXL,טורינג חצאית ZINC KH DECK LXL,5204-L/XL,,9.00
,0,03035204SM,טורינג חצאית ZINC XTRA BD SM,5204-S/M,,24.00
,0,0303520SLXL,טורינג חצאית BD ZINC LXL,5203-L/XL,,6.00
,0,0303520SSM,טורינג חצאית BD ZINC SM,5203-S/M,,6.00
,0,03035230SLXL,טורינג חצאית STEEL SMALL  L\XL,5230-L/XL,,2.00
,0,03036167PD,חצאית לפולו קיאק ML,PD-ML,,4.00
,0,03036167PD1,חצאית לפולו קיאק XL,21PD-XL,,6.00
,0,03036167UNAP,חצאית טורינג ניילון L PK,26ND-L-BIG,,22.00
,0,03036167UNAPM,טורינג חצאית ניילון M PK,21ND-MK,,4.00
,0,03036167UNAPY,טורינג חצאית ניילון L  YAK KYU,6164-A-UNIV,,
,0,0304S,"** אביזרים וח""ח ל S.O.T **",,,
860.00,0,0304S0200R,"מכסה עגול לקיאק  10""",3141,,2.00
854.00,0,0304S0201,מכסה HATCH דגם A,201,,2.00
854.00,0,0304S0202,"מכסה מרובע ""10""-16",202,,3.00
863273.00,0,0304S0304,ליש למשוט קיאק,90180,,1.00
209210.00,0,0304S0317,תופסנים מתקפלים למשוט (זוג),3070,,12.00
,0,0304S0320SH,ידית נשיאה מרופדת לקיאק,3230,,3.00
845.00,0,0304S0321,מחזיק בקבוק,AADT018,,5.00
8561011.00,0,0304S0322,צידנית עם מחזיקי חכה לקיאק,ABAG016,,1.00
860862.00,0,0304S0330,עגלה לקיאק  - סאפ,O0828078,,5.00
858.00,0,0304S03301,עגלה לקיאק WINNER,Y02012,,6.00
858.00,0,0304S0360,מחזיק חכה לקיאק,3100,,25.00
858.00,0,0304SL002,טורינג מחזיק חכה SCOTTY FLY,PRDH002,,1.00
,0,0304T,"** אביזרים וח""ח ל TOURING **",,,
,0,0304TPKS302210,מכסה קיאק ים אובלי 42X30 סמ KS,302210.1,,
,0,0304TPKS302410,מכסה קיאק ים אובלי 44X26 סמ KS,302410.1,,
,0,0304TPKS403110,תפסים (4) לסיפון מפלסטיק 5ממKS,403110.1,,10.00
,0,0304TPKS514100,דוושות רגל שיאק ים פלסטיק KS,514100.1,,
,0,0304TPKS514150,דושות רגל קיאק ים אלומיניום KS,514150.1,,
,0,0304TPKS703220,"תפסים לסיפון מפלסטיק 6 מ""מ KS",703220.1,,10.00
,0,0304TPLOW01,טורינג קיט חבל לסנפיר P&H,LOW01,,3.00
,0,0304TPSKM026,סנפיר בלבד לקיאק טורינג,KF120010100,,3.00
,0,0304TPSKM027,*טורינג מערכת הפעלה סנפיר P&H,SKM027,,
,0,0304TPSKM028,מערכת הפעלה סנפיר MKII,KF09001XX00,,2.00
,0,0304TPSKM0281,טורינג מכסה לסנפיר TOP CAP P&H,KF140010100,,5.00
,0,0304TPSKM0282,טורינג ידית לסנפיר 125ממ P&H,KF130011600,,4.00
,0,0304TPSKM028A,טורינג מכסה עגול 20X20 P&H,HT030020100,,
,0,0304TPSKM028B,מכסה אחו' אובלי טורינג X30 P&H,HT030040100,,
,0,0304TPSKM028C,טורינג מכסה קיד' עגול X24 P&H,HT030030100,,1.00
,0,0304TPSKM028D,"טורינג מכסה עגול 15 ס""מ P&H",HT030010100,,
,0,0304TPSKM028R,טורינג מכסה עגול +נעילה 20 P&H,HT020020100,,3.00
,0,0304TPSKM028T,טורינג מכסה עגול +נעילה 15 P&H,HT020010100,,4.00
,0,0304TPSKM029,"טורינג מכסה 44X27 ס""מ גומי P&H",458999,,
,0,0304TPSKM0291,טורינג מכסה גדול אובלי P&H,459000,,
,0,0304TPSKM030,טורינג מסילה לדוושת P&H,FR0900124PA,,
,0,0304TPSKM031,טורינג דוושה אלו' TIDE RACE,27770,,5.00
,0,0304W,"** אביזרים וח""ח למים סוערים **",,,
862.00,0,0304W304,טורינג בלון ציפה גודל 4 PVC,60304,,
862702.00,0,0304W3530,טורינג בלון ציפה חרט' KSB,3530-KSB,,2.00
862.00,0,0304W3530KSS,טורינג בלון ציפה ירכת' KSS,3530-KSS,,
,0,305,** ציוד נלווה לקיאקים **,,,
,0,30510243,"טורינג קרבינר אלו' 32 מ""מ לחבל",10243,,2.00
207.00,0,305185,אטם  לאף,90185,,12.00
,0,0305185PE,אטם אף PEAK UK,17BBNC,,10.00
,0,0305186P,שרוך צף למשקפי שמש PK,26GRD,,
,0,0305622320M,טורינג חבל חילוץ YAK 'מ 20,6222-20M,,
,0,0305622320S,טורינג חבל חילוץ PK 'מ 15,26TOW-15,,2.00
863.00,0,3056250,טורינג רצועת גרירה YAK 2.5,6250-2.5M,,1.00
,0,03056259RS,חומר תיקון לקיאקי פוליאטילן,,,
,0,03056259RS02,טורינג דוושת רגל P&H,5TLFR,,
,0,03056259RS02A,טורינג דוושת רגל P&H שמאל,PHF026,,
,0,305626,טורינג דוושת רגל P&H (זוג),FR1500101PAKS,,
,0,305627,טורינג דוושת רגל פלס' RTM,458998,,
802.00,0,03059CFLXL,קסדה מלאה לקיאקים צהוב,15PFY,,
802.00,0,03059CFSM,קסדה מלאה לקיאקים  אדום,18PFC-RED,,
,0,03059CKOML,קסדה פולו KORTEX RED L/XL,6315-L/XL,,
,0,03059CKOMS,קסדה פולו KORTEX BLACK M/S,6317- S/M,,
,0,03059PFG,מגן פנים לקסדת פולו,21408,,
,0,0305NK0100,מגפון ימי אטום למים NK,100,,
,0,0305NK0130,סטופר ומד קצב- אינטרוול 2000,130,,
,0,306,** אפודות ציפה לקיאקים **,,,
,0,0306101LXL,אפודת ציפה לפולו קיאק LXL,PVC-LXL,,
,0,0306101SM,אפודת ציפה לפולו קיאק SM,PVC-SM,,
,0,03062333XL,אפודת ציפה KALLISTA נשים XL,2333-A-XL,,1.00
,0,03062351JUN,אפודת ציפה KALLISTA נוער,3707-JUN,,3.00
850864.00,0,03062351ML,אפודת ציפה KALLISTA M/L,3707-M/L 3708,,26.00
850.00,0,03062351SM,אפודת ציפה KALLISTA S/M,3707-S/M,,10.00
850.00,0,03062351XL,אפודת ציפה KALLISTA XL,3707-XL 3708,,5.00
,0,03062351XXL,אפודת ציפה KALLISTA XXL,3707-XXL,,8.00
,0,03062399ML,אפודת ציפה XIPE M/L,3710-M/L 3711-M/L,,
,0,03062399XL,אפודת ציפה XIPE XL,3710-XL,,
,0,03063751XL,*אפודת ציפה -גבוה YAK L-XXL,3751-L/XXL,,
,0,030643714XXL,אפודת ציפה YAK DELTA XXL,3714-XXL,,
,0,0306752XL,*מעיל חתירה אטום ADVENTURE XL,6752/6751-XL,,
,0,03068673UN,אפודת ציפה - SWIFT - לחילוץ,8673-UNIV,,1.00
,0,307,** ביגוד לקיאקים **,,,
,0,030726GRNL,*מעיל חתירה TOURLITE STORM L,17TST-GRN-L,,
,0,030726GRNM,*מעיל חתירה TOURLITE STORM M,17TST-GRN-M,,
,0,030726GRNS,*מעיל חתירה TOURLITE STORM S,17TST-GRN-S,,
,0,030726GRNXL,מעיל חתירה TOURLITE STORM XL,17TST-GRN-XL,,1.00
,0,03072721S,מעיל חתירה אטום לקיאק ימי S,3721-S,,1.00
,0,30727258,מכנסי לייקרה/ניאופרן ארוכים L,27258,,5.00
,0,30727260,מכנסי לייקרה/ניאופרן ארוכים M,27260,,3.00
,0,30727262,מכנסי לייקרה/ניאופרן ארוכים S,27262,,1.00
,0,30727263,מכנסי לייקרה/ניאופרן ארוכים XL,27263,,5.00
,0,30727264,מכנסי לייקרה/ניאופרן ארוכים XX,27264,,5.00
,0,30734302,חולצת NELO בסיס ש.ק M ורוד,52373,,4.00
,0,30734310,חולצת NELO בסיס ש.ק S ורוד,,,4.00
,0,30734312,חולצת NELO בסיס ש.ק L ורוד,52371,,7.00
