מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,5,***** KITES *****,,,
,0,050000A,דגל דואטון בלי עמוד,44900-8521,,
,0,050000B,כסא נוח DTK,44900-8536,,
,0,050000C,דגל דואוטון כולל עמוד,44900-8520,,
,0,050000D,דגל דואטון מרובע פטרול,44220-8529,,
,0,050000DG,דגל פאנאטיק,13200-8542,,
,0,050000ST,סטנד משוטים חלק 1/2,13200-8530,,1.00
,0,050000ST2,סטנד משוטים חלק 2/2,13200-8531,,1.00
,0,050000T,עזרי פרסום כולל מכס 6%,,,
,0,050000T0,עזרי פרסום ללא מכס,,,
,0,050000T12,עזרי פרסום כולל 12% מכס,,,
,0,050000T6,עזרי פרסום כולל 6% מכס,,,
,0,503,*** חופות ***,,,
,0,0520DI07,*חופה DICE 07 20,44200-3002,,
,0,0520DI08,*חופה DICE 08 20,44200-3002,,
,0,0520DI09,*חופה DICE 09 20,44200-3002,,
,0,0520DI10,*חופה DICE 10 20,44200-3002,,
,0,0520DI11,*חופה DICE 11 20,44200-3002,,
,0,0520DI12,*חופה DICE 12 20,44200-3002,,
,0,0520DI13,*חופה DICE 13 20,44200-3002,,
,0,0520EV07,*חופה EVO 07 20,44200-3003,,
,0,0520EV08,*חופה EVO 08 20,44200-3003,,
,0,0520EV09,*חופה EVO 09 20,44200-3003,,
,0,0520EV10,*חופה EVO 10 20,44200-3003,,
,0,0520EV11,*חופה EVO 11 20,44200-3003,,
,0,0520EV12,*חופה EVO 12 20,44200-3003,,
,0,0520EV13,*חופה EVO 13 20,44200-3003,,
,0,0520EV14,*חופה EVO 14 20,44200-3003,,
,0,0520JU13,*חופה JUICE 13  20,44200-3007,,
,0,0520JU15,*חופה JUICE 15 20,44200-3007,,
,0,0520MO09,*חופה MONO 09  20,44200-3008,,
,0,0520MO11,*חופה MONO 11  20,44200-3008,,
,0,0520MO13,*חופה MONO 13  20,44200-3008,,
,0,0520NE04,*חופה NEO 04 20,44200-3004,,
,0,0520NE05,*חופה NEO 05 20,44200-3004,,
,0,0520NE06,*חופה NEO 06 20,44200-3004,,
,0,0520NE07,*חופה NEO 07 20,44200-3004,,
,0,0520NE08,*חופה NEO 08 20,44200-3004,,
,0,0520NE09,*חופה NEO 09 20,44200-3004,,
,0,0520NE10,*חופה NEO 10 20,44200-3004,,
,0,0520NE11,*חופה NEO 11 20,44200-3004,,
,0,0520NE12,*חופה NEO 12 20,44200-3004,,
,0,0520RE05,*חופה REBEL 05 20,44200-3000,,
,0,0520RE07,*חופה REBEL 07 20,44200-3000,,
,0,0520RE08,*חופה REBEL 08 20,44200-3000,,
,0,0520RE09,*חופה REBEL 09 20,44200-3000,,
,0,0520RE10,*חופה REBEL 10 20,44200-3000,,
,0,0520RE11,*חופה REBEL 11 20,44200-3000,,
,0,0520RE12,*חופה REBEL 12 20,44200-3000,,
,0,0520RE13,*חופה REBEL 13 20,44200-3000,,
,0,0520RE14,*חופה REBEL 14 20,44200-3000,,
,0,0520TR18,טריינר kite lizard 1.8,44900-7098,,1.00
,0,0520TR25,טריינר kite lizard 2.5,44900-7098,,1.00
,0,0520VE09,*חופה VEGAS 09 20,44200-3001,,
,0,0520VE10,חופה VEGAS 10 20,44200-3001,,
,0,0520VE12,*חופה VEGAS 12 20,44200-3001,,
,0,0520VE145,*חופה VEGAS 14.5 20,44200-3001,,
,0,0521DI07,*חופה DICE 07 21,44210-3002,,
,0,0521DI08,*חופה DICE 08 21,44210-3002,,
,0,0521DI09,חופה DICE 09 21,44210-3002,,
,0,0521DI10,חופה DICE 10 21,44210-3002,,
,0,0521DI11,חופה DICE 11 21,44210-3002,,
,0,0521DI12,*חופה DICE 12 21,44210-3002,,
,0,0521EV07S,*חופה EVO SLS 07 21,44210-3013,,
,0,0521EV09S,*חופה EVO SLS 09 21,44210-3013,,
,0,0521EV10,*חופה EVO 10 21,44200-3009,,
,0,0521EV10S,*חופה EVO SLS 10 21,44210-3013,,
,0,0521EV11S,*חופה EVO SLS 11 21,44210-3013,,
,0,0521EV12S,*חופה EVO SLS 12 21,44210-3013,,
,0,0521MO09,חופה מונו 09 2021,44210-3008,,
,0,0521MO11,חופה מונו 11 2021,44210-3008,,
,0,0521NE06S,*חופה NEO  SLS 06 21,44210-3014,,
,0,0521NE07S,*חופה NEO  SLS 07 21,44210-3014,,
,0,0521NE08S,*חופה NEO  SLS 08 21,44210-3014,,
,0,0521NE09S,חופה NEO  SLS 09 21,44210-3014,,
,0,0521NE10S,*חופה NEO  SLS 10 21,44210-3014,,
,0,0521NE11S,*חופה NEO  SLS 11 21,44210-3014,,
,0,0521NE12S,חופה NEO  SLS 12 21,44210-3014,,
,0,0521RE07,חופה DTK KITE REBEL 07,44210-3000,,
,0,0521RE08,*חופה REBEL 08 21,44210-3000,,
,0,0521RE09,*חופה REBEL 09 21,44210-3000,,
,0,0521RE10,*חופה REBEL 10 21,44210-3000,,
,0,0521RE12,*חופה REBEL 12 21,44210-3000,,
,0,0521VE10,*חופה VEGAS 10 22,44200-3001,,
,0,0522DI08,חופה DICE SLS 08 22,44220-3012,,
,0,0522DI09,חופה DICE SLS 09 22,44220-3012,,
,0,0522DI10,חופה DICE SLS 10 22,44200-3012,,
,0,0522DI11,חופה DICE SLS 11 22,44220-3012,,1.00
,0,0522DI12,חופה DICE SLS 12 22,44220-3012,,
,0,0522EV06,חופה EVO 06 23,44220-3003,,
,0,0522EV07,חופה EVO 07 23 אדום,44220-3003/C23,,
