מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,4,***WINDSURF + WING***,,,
,0,402,***גלשני רוח***,,,
,0,04021902A082,*גלשן רוח GRIP TE 82 19,13900-1001,,
,0,04021902A099,*גלשן רוח 19 GRIP TE 99,13900-1001,,
,0,04021906A095,*גלשן רוח 19 FREEWAVE 95,13900-1007,,
,0,04021906A105,*גלשן רוח 19 FREEWAVE 105,13900-1007,,
,0,04021906B095,גלשן רוח 19 FREEWAVE TE 95,13900-1005,,
,0,04021910A115,*גלשן רוח 19 BLAST 115,13900-1009,,
,0,04021910A130,*גלשן רוח 19 BLAST 130,13900-1009,,
,0,04021910A145,*גלשן רוח 19 BLAST 145,13900-1009,,
,0,04021911B092,*גלשן רוח 19 92 SKATE TE,13900-1008,,
,0,04021912A110,*גלשן רוח GECKO 110 19,13900-1011,,
,0,04021912A120,*גלשן רוח GECKO 120 19,13900-1011,,
,0,04021912A133F,*גלשן רוח 19 GECKO 133 FOIL,13900-1022,,
,0,04021912A146,*גלשן רוח 19 GECKO 146,13900-1011,,
,0,04021912A156,*גלשן רוח 19 GECKO 156,13900-1011,,
,0,04021912A156D,*גלשן רוח 19 GECKO + D 156,13900-1012,,
,0,04021915A094,*גלשן רוח 19 JAG LTD 94,13900-1003,,
,0,04021915A098,*גלשן רוח FALCON 98L 19,13900-1015,,
,0,04021915A099,*גלשן רוח 19 STUBBY TE 99,13900-1000,,
,0,04021915A108,גלשן רוח 19 JAG LTD108,13900-1003,,
,0,04021915A125,*גלשן רוח 19 JAG LTD125,13200-8043,,
,0,04021915A135,*גלשן רוח 19 JAG LTD135,13900-1003,,
,0,04021915A180,*גלשן רוח 19 FALCON פויל 180L,13900-1018,,
,0,04022001A68,גלשן רוח GRIP TE 68L 20,13200-1001,,
,0,04022001A82,גלשן רוח GRIP TE 82L 20,13200-1001,,
,0,04022001A86,גלשן רוח GRIP TE 86L 20,13200-1001,,
,0,04022001A92,גלשן רוח GRIP TE 92L 20,13200-1001,,
,0,04022003A125,גלשן רוח JAG LTD 125L 20,13200-1003,,
,0,04022003A94,גלשן רוח JAG LTD 94L 20,13200-1003,,
,0,04022005A105,גלשן רוח FREEWAVE TE 105 20,13200-1005,,
,0,04022005A105A,גלשן רוח FREEWAVE 105 20,13200-1007,,
,0,04022005A115,גלשן רוח FREEWAVE TE 115 20,13200-1005,,
,0,04022006A85,גלשן רוח FREEWAVE TXTR 85L 20,13200-1006,,
,0,04022006A95,גלשן רוח FREEWAVE TXTR 95L 20,13200-1006,,
,0,04022010A100,גלשן רוח BLAST LTD 100L 20,13200-1009,,
,0,04022010A115,גלשן רוח BLAST HRS 115L 20,13200-1010,,
,0,04022010A130,גלשן רוח BLAST HRS 130L 20,13120-1010,,
,0,04022011A122,*גלשן רוח GECKO 122L 20,13200-1011,,
,0,4022012125,גלשן רוח STINGRAY LTD 125L 20,13200-1026,,1.00
,0,4022012140,גלשן רוח STINGRAY LTD 140L 20,13200-1026,,1.00
,0,04022012A140,גלשן רוח STINGRAY HRS 140L 20,13200-1027,,1.00
,0,040221BLAST100,*גלשן רוח BLAST LTD 100 21,13210-1009,,
,0,040221BLAST130,*גלשן רוח BLAST LTD 130 21,13210-1009,,
,0,040221BLAST145,גלשן רוח BLAST LTD 145 21,13210-1009,,
,0,040221FWTE085,*גלשן רוח FREEWAVE TE 85 21,13210-1005,,
,0,040221FWTE105,גלשן רוח FREEWAVE TE 105 21,13210-1005,,
,0,040221GECKA100,*גלשן רוח 21 GECKO HRS 100,13210-1011,,
,0,040221GECKA135,גלשן רוח 21 GECKO HRS 135L,13210-1011,,
,0,040221GECKA148,גלשן רוח 21 GECKO HRS 148L,13210-1011,,
,0,040221GECKA156,גלשן רוח 21 GECKO HRS 156L,13210-1011,,
,0,040221GECKB148,גלשן רוח 21 GECKO LTD 148,13210-1013,,
,0,040221GRIP102,גלשן רוח GRIP 102 21,13210-1001,,
,0,040221GRIP82,גלשן רוח GRIP 82 21,13210-1001,,
,0,040221GRIP92,גלשן רוח GRIP 92 21,13210-1001,,
,0,040221MAMBA084,גלשן רוח MAMBA TE 84 21,13210-1000,,
,0,040221MAMBA094,גלשן רוח MAMBA TE 94 21,13210-1000,,
,0,040221MAMBA104,גלשן רוח MAMBA TE 104 21,13210-1000,,
,0,040222BLAST117,גלשן רוח BLAST LTD 117 22,133220-1009,,
,0,040222BLAST132,גלשן רוח BLAST LTD 132 22,13220-1009,,
,0,040222FLW159,גלשן רוח FALCON LW 159,13220-1016,,
,0,040222FW0105,גלשן רוח 22 FREE WAVE  105,13220-1007,,
,0,040222FW095,גלשן רוח 22 FREE WAVE  95,13220-1007,,
,0,040222FWTE095,גלשן רוח 22 FREE WAVE TE 95,13220-1005,,
,0,040222FWTE105,גלשן רוח FREE WAVE TE 105 22,13220-1005,,
,0,040222GECKA122,גלשן רוח 22 GECKO HRS 122,13220-1011,,1.00
,0,040222GECKA135,גלשן רוח 22 GECKO HRS 135,13220-1011,,
,0,040222GECKA148,גלשן רוח 22 GECKO HRS 148,13220-1011,,2.00
,0,040222GECKA156,גלשן רוח 22 GECKO HRS 156,13220-1011,,
,0,040222GECKA156S,גלשן רוח 22 GECKO HRS 156 SOFT,13220-1012,,
,0,040222GECKOLTD122,גלשן רוח 22 GECKO LTD 122,13220-1013,,
,0,040222GRIP075,גלשן רוח GRIP 75 22,13220-1001,,
,0,040222GRIP082,גלשן רוח GRIP 82 22,13220-1001,,
,0,040222GRIP086,גלשן רוח GRIP 86 22,13220-1001,,
,0,040222GRIP092,גלשן רוח GRIP 92 22,13220-1001,,
,0,040222GRIP102,גלשן רוח GRIP 102 22,13220-1001,,
,0,040222SKATE99,גלשן רוח SKATE 99 22,13220-1008,,
,0,040223FALCON170,גלשן רוח FALCON FOIL BXF 170,34230-1019,,
,0,040223FALCON90,גלשן רוח FALCON 90,34230-1015,,
,0,040223FWTXTR105,גלשן רוח FREE WAVE TXTR 105,34230-1006,,
,0,040223GRIP81,גלשן רוח 23 GRIP 81,34230-1001,,1.00
,0,040223GRIP87,גלשן רוח 23 GRIP 87,34230-1001,,
,0,040223GRIP93,גלשן רוח 23 GRIP 93,34230-1001,,
,0,040223JAG110,גלשן רוח 23 JAG 110,34230-1003,,
,0,040224BLSTSLS117,גלשן רוח 24 BLAST SLS 117,14240-1009,,
,0,040224FREE115,גלשן רוח 24 FREEWAVE 115,14240-1007,,
,0,040224FREESLS85,גלשן רוח 24 FREEWAVE SLS 85,14240-1006,,
,0,040224FREESLS95,גלשן רוח 24 FREEWAVE SLS 95,14240-1006,,
,0,040224GRIP81,גלשן רוח 24 GRIP 81,14240-1001,,1.00
,0,040224GRIP87,גלשן רוח 24 GRIP 87,14240-1001,,
