מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,04W,***WING***,,,
,0,04W20UNIT40,*כנף גלישה UNIT 4.0 20,44200-3519,,
,0,04W20UNIT50,*כנף גלישה 20 UNIT 5.0,44200-3519,,
,0,04W20UNIT60,*כנף גלישה 20 UNIT 6.0,44200-3519,,
,0,04W21SLICK35,*כנף גלישה 21 3.5 SLICK,44210-3520,,
,0,04W21SLICK40,*כנף גלישה 21 SLICK 4.0,44210-3520,,
,0,04W21SLICK45,כנף גלישה 21 SLICK 4.5,44210-3520,,
,0,04W21SLICK50,כנף גלישה 21 SLICK 5.0,44210-3521,,
,0,04W21SLICK55,כנף גלישה 21 SLICK 5.5,44210-3520,,
,0,04W21SLICK60,כנף גלישה 21 SLICK 6.0,44210-3520,,
,0,04W21SLICK65,כנף גלישה SLICK 6.5 21,44210-3520,,
,0,04W21SLICK70,כנף גלישה SLICK 7.0 21,44210-3520,,
,0,04W22S804340,טיובה תומכת SLICK SLS 4.0,44220-8043,,
,0,04W22S804350,טיובה תומכת SLICK SLS 5.0,44220-8043,,
,0,04W22SLICK4.0,כנף גלישה SLICK SLS 4.0 22,44220-3523,,
,0,04W22SLICK45,כנף גלישה SLICK SLS 4.5 22,44220-3523,,
,0,04W22SLICK50,כנף גלישה SLICK SLS 5.0 22,44220-3523,,
,0,04W22SLICK55,כנף גלישה SLICK SLS 5.5 22,44220-3523,,
,0,04W22SLICK6.0,כנף גלישה SLICK SLS 6.0 22,44220-3523,,
,0,04W22SLICK6.5,כנף גלישה SLICK SLS 6.5 22,44220-3523,,
,0,04W22UNIT2.0,כנף גלישה 22 UNIT 2.0,44220-3518,,
,0,04W22UNIT3.0,כנף גלישה 22 UNIT 3.0,44220-3518,,
,0,04W22UNIT3.5,כנף גלישה 22 UNIT 3.5,44220-3518,,
,0,04W22UNIT4.0,כנף גלישה 22 UNIT 4.0,44220-3518,,
,0,04W22UNIT4.5,כנף גלישה 22 UNIT 4.5,44220-3518,,
,0,04W22UNIT5.0,כנף גלישה 22 UNIT 5.0,44220-3518,,
,0,04W22UNIT5.5,כנף גלישה 22 UNIT 5.5,44220-3518,,
,0,04W22UNIT6.0,כנף גלישה 22 UNIT 6.0,44220-3518,,
,0,04W22UNIT6.5,כנף גלישה 22 UNIT 6.5,44220-3518,,
,0,04W22UNITD3.5,כנף גלישה UNIT D/LAB 3.5 22,44220-3529,,
,0,04W22UNITD4.0,כנף גלישה UNIT D/LAB 4.0 22,44220-3529,,
,0,04W22UNITD4.5,כנף גלישה UNIT D/LAB 4.5 22,44220-3529,,
,0,04W22UNITD5.0,כנף גלישה UNIT D/LAB 5.0 22,44220-3529,,
,0,04W22UNITD5.5,כנף גלישה UNIT D/LAB 5.5 22,44220-3529,,
,0,04W22UNITD6.0,כנף גלישה UNIT D/LAB 6.0 22,44220-3529,,
,0,04W22UNITD6.5,כנף גלישה UNIT D/LAB 6.5 22,44220-3529,,
,0,04W23UNIT25,כנף גלישה 23 UNIT 2.5,42230-3519,,
,0,04W23UNIT30,כנף גלישה 23 UNIT 3.0,42230-3519,,
,0,04W23UNIT35,כנף גלישה 23 UNIT 3.5,42230-3519,,
,0,04W23UNIT40,כנף גלישה 23 UNIT 4.0,42230-3519,,
,0,04W23UNIT45,כנף גלישה 23 UNIT 4.5,42230-3519,,
,0,04W23UNIT50,כנף גלישה 23 UNIT 5.0,42230-3518,,
,0,04W23UNIT60,כנף גלישה 23 UNIT 6.0,42230-3519,,
,0,04W23UNITD40,כנף גלישה 23 UNIT D/LAB 4.0,42230-3529,,
,0,04W23UNITD45,כנף גלישה 23 UNIT D/LAB 4.5,42230-3529,,
,0,04W23UNITD50,כנף גלישה 23 UNIT D/LAB 5.0,42230-3529,,
,0,04W23UNITD55,כנף גלישה 23 UNIT D/LAB 5.5,42230-3529,,
,0,04W23UNITD60,כנף גלישה 23 UNIT D/LAB 6.0,42230-3529,,
,0,04W23UNITD65,כנף גלישה 23 UNIT D/LAB 6.5,42230-3529,,
,0,04W24UNIT25B,כנף גלישה 24 UNIT 2.5 כחול,42240-3519/CO1,,
,0,04W24UNIT25W,כנף גלישה 24 UNIT 2.5 לבן,42240-3519/CO2,,
,0,04W24UNIT30B,כנף גלישה 24 UNIT 3.0 כחול,42240-3519/C01,,
,0,04W24UNIT30R,כנף גלישה 24 UNIT 3.0 אדום,42240-3519/C11,,
,0,04W24UNIT35B,כנף גלישה 24 UNIT 3.5 כחול,42240-3519/CO1,,
,0,04W24UNIT35R,כנף גלישה 24 UNIT 3.5 אדום,42240-3519/C11,,
,0,04W24UNIT35W,כנף גלישה 24 UNIT 3.5 לבן,42240-3519/CO2,,
,0,04W24UNIT40B,כנף גלישה 24 UNIT 4.0 כחול,42240-3519/C01,,
,0,04W24UNIT40C,כנף גלישה 24 UNIT 4.0 אדום,42240-3519/C11,,
,0,04W24UNIT40W,כנף גלישה 24 UNIT 4.0 לבן,42240-3519/C02,,
,0,04W24UNIT45B,כנף גלישה 24 UNIT 4.5 כחול,42240-3519/CO1,,
,0,04W24UNIT45C,כנף גלישה 24 UNIT 4.5 אדום,42240-3519/C11,,
,0,04W24UNIT50B,כנף גלישה 24 UNIT 5.0 כחול,42240-3519/C01,,
,0,04W24UNIT50C,כנף גלישה 24 UNIT 5.0 אדום,42240-3519/C11,,
,0,04W24UNIT50W,כנף גלישה 24 UNIT 5.0 לבן,42240-3519/CO2,,
,0,04W24UNIT55B,כנף גלישה 24 UNIT 5.5 כחול,42240-3519/CO1,,
,0,04W24UNIT55W,כנף גלישה 24 UNIT 5.5 לבן,42240-3519/CO2,,
,0,04W24UNIT60B,כנף גלישה 24 UNIT 6.0 כחול,42240-3519/CO1,,
,0,04W24UNIT60W,כנף גלישה 24 UNIT 6.0 לבן,42240-3519/CO2,,
,0,04W24UNIT65B,כנף גלישה 24 UNIT 6.5 כחול,42240-3519/CO1,,
,0,04W24UNIT65W,כנף גלישה 24 UNIT 6.5 לבן,42240/3519/CO2,,
,0,04W24UNITD40,כנף גלישה 24 UNIT D/LAB 4.0,42240-3529,,
,0,04W24UNITD45,כנף גלישה 24 UNIT D/LAB 4.5,42240-3529,,
,0,04W24UNITD50,כנף גלישה 24 UNIT D/LAB 5.0,42240-3529,,
,0,04W24UNITD55,כנף גלישה 24 UNIT D/LAB 5.5,42240-3529,,
,0,04W24UNITD60,כנף גלישה 24 UNIT D/LAB 6.0,42240-3529,,
