ענף ספורט,קטגוריה,שם מוצר,תכונה 1,תכונה 2,"מק""ט",מחיר רגיל (₪),מחיר מבצע (₪),מלאי,URL מוצר
גלישת סאפ,גלישת סאפ,בורג לחץ לגלשן רוח/סאפ,,,093X062,61,,קיים במלאי,https://yamitysb.co.il/product/%d7%91%d7%95%d7%a8%d7%92-%d7%9c%d7%97%d7%a5-%d7%9c%d7%92%d7%9c%d7%a9%d7%9f-%d7%a8%d7%95%d7%97-%d7%a1%d7%90%d7%a4/
גלישת סאפ,גלישת סאפ,גגון רך לרכב – Single Deluxe StayCovered,,,090ZA0005,288,,קיים במלאי,https://yamitysb.co.il/product/%d7%92%d7%92%d7%95%d7%9f-%d7%a8%d7%9a-%d7%9c%d7%a8%d7%9b%d7%91-single-soft-racks/
גלישת סאפ,גלישת סאפ,גלגל לעגלה 26 ס״מ,,,24O1026000,143,,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%92%d7%9c%d7%92%d7%9c-26%d7%a1%d7%b4%d7%9e-%d7%9c%d7%a2%d7%92%d7%9c%d7%94/
גלישת סאפ,גלישת סאפ,גלשן סאפ FANATIC FLY – 2024,610,,1023FLY106,6869,6250,נשארו במלאי רק 3,https://yamitysb.co.il/product/fly-air-2022/
גלישת סאפ,גלישת סאפ,גלשן סאפ FANATIC FLY – 2024,69,,1023FLY96,6869,6250,אזל,https://yamitysb.co.il/product/fly-air-2022/
גלישת סאפ,גלישת סאפ,חליפה קצרה לונג ג'ון אוניל  REACTOR,l,,11C5047L,400,,אזל,https://yamitysb.co.il/product/%d7%92%d7%91%d7%a8%d7%99%d7%9d-reactor-2-sleeveless-1-5mm/
גלישת סאפ,גלישת סאפ,חליפה קצרה לונג ג'ון אוניל  REACTOR,xl,,11C5047XL,400,,אזל,https://yamitysb.co.il/product/%d7%92%d7%91%d7%a8%d7%99%d7%9d-reactor-2-sleeveless-1-5mm/
גלישת סאפ,גלישת סאפ,חליפה קצרה לונג ג'ון אוניל  REACTOR,m,,11C5047M,400,390,אזל,https://yamitysb.co.il/product/%d7%92%d7%91%d7%a8%d7%99%d7%9d-reactor-2-sleeveless-1-5mm/
גלישת סאפ,גלישת סאפ,חליפת גלישה לנשים לונג ג'ין ION,l,,08WI45562240P,807,,אזל,https://yamitysb.co.il/product/%d7%a0%d7%a9%d7%99%d7%9d-amaze-long-jane-2mm/
גלישת סאפ,גלישת סאפ,חליפת גלישה לנשים לונג ג'ין ION,m,,08WI45562238P,807,,אזל,https://yamitysb.co.il/product/%d7%a0%d7%a9%d7%99%d7%9d-amaze-long-jane-2mm/
